Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -p ../pos_files/AtPEATtss_raw.pos ../pos_files/AtPEATtss_filtered.pos ../pos_files/AtPEATtss_belowThresh.pos)	../pos_files/AtPEATtss_raw.pos	../pos_files/AtPEATtss_filtered.pos	../pos_files/AtPEATtss_belowThresh.pos
-500	0.00210733101169747	0.000270857517040212	0.00183647349465726
-490	0.00554216150251511	0.000860195850820014	0.00468196565169509
-480	0.00580111319463047	0.000863172307051225	0.00493794088757925
-470	0.00520284549215704	0.000764949251421258	0.00443789624073578
-460	0.00538440932226092	0.000794713813733369	0.00458969550852755
-450	0.00535166830371759	0.000895913325594547	0.00445575497812305
-440	0.00582194838824895	0.000866148763282436	0.00495579962496651
-430	0.00566419620799476	0.000952465993987558	0.0047117302140072
-420	0.00587254814417954	0.00108045361192964	0.0047920945322499
-410	0.00561061999583296	0.000946513081525136	0.00466410691430783
-400	0.00568800785784445	0.00101199511861178	0.00467601273923267
-390	0.00566717266422597	0.00100604220614936	0.00466113045807661
-380	0.00597077119980951	0.00100604220614936	0.00496472899366015
-370	0.00614042920498854	0.001071524243236	0.00506890496175254
-360	0.00621781706700003	0.00120248831740929	0.00501532874959074
-350	0.0063696163347918	0.00109235943685448	0.00527725689793732
-340	0.00617614667976307	0.00110128880554811	0.00507485787421496
-330	0.0063696163347918	0.001071524243236	0.00529809209155579
-320	0.00627436973539304	0.00116081793017234	0.0051135518052207
-310	0.00675655564484924	0.00135428758520106	0.00540226805964818
-300	0.00665237967675685	0.00137214632258833	0.00528023335416853
-290	0.00688751971902253	0.0014197696222877	0.00546775009673483
-280	0.00695597821234039	0.00145548709706224	0.00550049111527815
-270	0.00696490758103402	0.00141084025359407	0.00555406732743995
-260	0.00827454832276691	0.00175015626395214	0.00652439205881478
-250	0.00815251361728726	0.00179777956365152	0.00635473405363574
-240	0.00790249129386552	0.00169360359555913	0.0062088876983064
-230	0.00847099443402685	0.00172336815787124	0.00674762627615561
-220	0.00825073667291723	0.00166979194570944	0.00658094472720779
-210	0.00853052355865107	0.00172336815787124	0.00680715540077983
-200	0.00962288299550555	0.002354376878888	0.00726850611661756
-190	0.00929249635384112	0.00237521207250647	0.00691728428133464
-180	0.00920320266690478	0.00215495431139685	0.00704824835550793
-170	0.00969729440128583	0.00218471887370896	0.00751257552757687
-160	0.00997112837455725	0.00215197785516564	0.00781915051939161
-150	0.0100485162365687	0.00207161353692294	0.0079769026996458
-140	0.00961990653927434	0.00183647349465726	0.00778343304461708
-130	0.00950382474625711	0.00168467422686549	0.00781915051939161
-120	0.00900973301187606	0.00152394559038009	0.00748578742149597
-110	0.00949191892133226	0.00156561597761705	0.00792630294371521
-100	0.0104027145280829	0.00162514510224127	0.00877756942584159
-90	0.0107747715569843	0.00189004970681906	0.00888472185016519
-80	0.0130041372741614	0.00237521207250647	0.0106289252016549
-70	0.0155698425454654	0.00252105842783582	0.0130487841176296
-60	0.0185552281453701	0.00309551448045956	0.0154597136649106
-50	0.0220674464981992	0.00347650087805459	0.0185909456201447
-40	0.0273566092210614	0.00478316516355627	0.0225734440575051
-30	0.0353097002708575	0.00646486293419055	0.028844837336667
-20	0.0471798077209275	0.00930737863499717	0.0378724290859303
-10	0.0614161978748103	0.0138405214751317	0.0475756763996785
0	0.149022234128047	0.0545346310682501	0.094487603059797
10	0.119213024972468	0.0358573682174004	0.0833556567550674
