Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -fpkm -p ../pos_files/AtCAGEtss_belowThresh.pos ../pos_files/AtPEATtss_belowThresh.pos ../pos_files/AtOligo_tss_belowThresh.pos)	../pos_files/AtCAGEtss_belowThresh.pos	../pos_files/AtPEATtss_belowThresh.pos	../pos_files/AtOligo_tss_belowThresh.pos
-500	0.0119207072060005	0.00183647349465726	0.00364913533946483
-490	0.0288894841801351	0.00468196565169509	0.00885495728785308
-480	0.0290591421853142	0.00493794088757925	0.0087537577759919
-470	0.0288329315117421	0.00443789624073578	0.00843825341548353
-460	0.0288567431615918	0.00458969550852755	0.00851861773372622
-450	0.0285590975384707	0.00445575497812305	0.00831919516623508
-440	0.0290293776230021	0.00495579962496651	0.00889960413132125
-430	0.0282316873530375	0.0047117302140072	0.00875078131976069
-420	0.0287674494746555	0.0047920945322499	0.00893532160609578
-410	0.0297258683811055	0.00466410691430783	0.00931035509122838
-400	0.0294252463017531	0.00467601273923267	0.00914367354228056
-390	0.0300086317230705	0.00466113045807661	0.00895318034348305
-380	0.0296306217817067	0.00496472899366015	0.00874482840729827
-370	0.0295681162008513	0.00506890496175254	0.00905735631157544
-360	0.0294907283388398	0.00501532874959074	0.0090216388368009
-350	0.0302854421525731	0.00527725689793732	0.00903056820549454
-340	0.0303896181206655	0.00507485787421496	0.00957823615203738
-330	0.0317379527934042	0.00529809209155579	0.00985207012530881
-320	0.0312498139714855	0.0051135518052207	0.00963776527666161
-310	0.0309045450486651	0.00540226805964818	0.00940857814685835
-300	0.0318034348304908	0.00528023335416853	0.00989969342500819
-290	0.0327142304372414	0.00546775009673483	0.0101586451171236
-280	0.032666607137542	0.00550049111527815	0.0109057356311575
-270	0.0327886418430217	0.00555406732743995	0.0101705509420484
-260	0.034104235497217	0.00652439205881478	0.0110962288299551
-250	0.0341994820966158	0.00635473405363574	0.0109295472810072
-240	0.0350894425097479	0.0062088876983064	0.0109950293180939
-230	0.035753192249308	0.00674762627615561	0.0113968509093074
-220	0.0368336458612376	0.00658094472720779	0.0122123999166592
-210	0.0371759383278269	0.00680715540077983	0.0128225734440575
-200	0.0375807363752716	0.00726850611661756	0.0132005833854213
-190	0.0387207191118255	0.00691728428133464	0.0135964520641724
-180	0.0384587909634789	0.00704824835550793	0.014239366610114
-170	0.0397327142304372	0.00751257552757687	0.0147215525195702
-160	0.0399291603416972	0.00781915051939161	0.0150072923177665
-150	0.0410840253594071	0.0079769026996458	0.0163764621841236
-140	0.0411584367651874	0.00778343304461708	0.0170342590112212
-130	0.0418936214542965	0.00781915051939161	0.0164181325713605
-120	0.0421466202339495	0.00748578742149597	0.0170253296425276
-110	0.0427210762865732	0.00792630294371521	0.0177873024377177
-100	0.0453344048575766	0.00877756942584159	0.0193648242402595
-90	0.0471500431586154	0.00888472185016519	0.0216894365568354
-80	0.0499866059469595	0.0106289252016549	0.0246510105068905
-70	0.0550555109087121	0.0130487841176296	0.0293151174211983
-60	0.0600797690269965	0.0154597136649106	0.0339732714230437
-50	0.0659731523647945	0.0185909456201447	0.0410066374973956
-40	0.0737684912343364	0.0225734440575051	0.047792957704557
